rel_time_ms,sensor,value
2600.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
2700.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
2700.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
2700.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
2700.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
2700.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
2700.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
2700.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
2700.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
2800.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
2800.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
2800.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
2800.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
2800.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
2800.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
2800.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
2800.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
2900.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
2900.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
2900.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
2900.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
2900.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
2900.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
2900.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
2900.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
3000.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
3000.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
3000.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
3000.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
3000.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
3000.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
3000.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
3000.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
3100.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
3100.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
3100.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
3100.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
3100.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
3100.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
3100.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
3100.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
3200.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
3200.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
3200.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
3200.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
3200.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
3200.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
3200.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
3200.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
3300.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
3300.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
3300.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
3300.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
3300.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
3300.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
3300.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
3300.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
3400.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
3400.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
3400.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
3400.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
3400.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
3400.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
3400.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
3400.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
3500.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
3500.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
3500.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
3500.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
3500.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
3500.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
3500.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
3500.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
3600.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
3600.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
3600.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
3600.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
3600.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
3600.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
3600.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
3600.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
3700.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
3700.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
3700.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
3700.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
3700.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
3700.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
3700.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
3700.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
3800.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
3800.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
3800.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
3800.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
3800.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
3800.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
3800.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
3800.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
3900.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
3900.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
3900.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
3900.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
3900.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
3900.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
3900.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
3900.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
4000.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
4000.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
4000.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
4000.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
4000.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
4000.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
4000.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
4000.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
4100.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
4100.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
4100.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
4100.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
4100.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
4100.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
4100.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
4100.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
4200.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
4200.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
4200.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
4200.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
4200.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
4200.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
4200.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
4200.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
4300.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
4300.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
4300.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
4300.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
4300.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
4300.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
4300.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
4300.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
4400.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
4400.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
4400.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
4400.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
4400.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
4400.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
4400.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
4400.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
4500.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
4500.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
4500.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
4500.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
