rel_time_ms,sensor,value
1716.79,TSL3_UpperScreen_spec.Room518a_WP2,681.0
1716.79,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
1716.79,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
1817.16,Illuminance.Room518a_Ceiling,184.17
1817.16,TSL1_LowerScreen_spec.Room518a_WP1,685.0
1817.16,TSL1_LowerScreen_spec.Room518a_WP2,873.0
1817.16,TSL2_Keyboard_spec.Room518a_WP1,1455.0
1817.16,TSL2_Keyboard_spec.Room518a_WP2,792.0
1817.16,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
1817.16,TSL3_UpperScreen_spec.Room518a_WP2,696.0
1817.16,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
1817.16,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
1917.34,Illuminance.Room518a_Ceiling,184.17
1917.34,TSL1_LowerScreen_spec.Room518a_WP1,685.0
1917.34,TSL1_LowerScreen_spec.Room518a_WP2,873.0
1917.34,TSL2_Keyboard_spec.Room518a_WP1,1455.0
1917.34,TSL2_Keyboard_spec.Room518a_WP2,792.0
1917.34,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
1917.34,TSL3_UpperScreen_spec.Room518a_WP2,696.0
1917.34,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
1917.34,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
2018.51,Illuminance.Room518a_Ceiling,184.17
2018.51,TSL1_LowerScreen_spec.Room518a_WP1,685.0
2018.51,TSL1_LowerScreen_spec.Room518a_WP2,873.0
2018.51,TSL2_Keyboard_spec.Room518a_WP1,1455.0
2018.51,TSL2_Keyboard_spec.Room518a_WP2,792.0
2018.51,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
2018.51,TSL3_UpperScreen_spec.Room518a_WP2,696.0
2018.51,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
2018.51,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
2119.65,Illuminance.Room518a_Ceiling,184.17
2119.65,TSL1_LowerScreen_spec.Room518a_WP1,685.0
2119.65,TSL1_LowerScreen_spec.Room518a_WP2,873.0
2119.65,TSL2_Keyboard_spec.Room518a_WP1,1455.0
2119.65,TSL2_Keyboard_spec.Room518a_WP2,792.0
2119.65,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
2119.65,TSL3_UpperScreen_spec.Room518a_WP2,696.0
